date,time,commit,violations
2012-02-20,16:14:22,3f2f5b1aa5e647f3c563bdc1564bbdc7e8ae8378,0
2012-02-21,08:57:29,67f73fc8c947699eb448680d35c9c92c4402f197,0
2012-02-27,12:15:38,c02701a4f6184c180a3e0dfc790128b8c397ba22,0
2012-02-27,12:18:28,b82e8d783bf7a420d396c2449187a891b752470a,0
2012-02-28,08:33:28,af75c061ff03c2d84b4af0726c35fecc77451965,0
2012-02-28,10:07:13,f5d2d296028fe75019cae210cb7e9e223dcd3df8,0
2012-03-09,13:50:13,4326fd2aa954b2b52bbfc50a0f31a17839675aeb,0
2012-04-02,12:22:50,354ed07cf8c0c5eb94095bb21e80ca5c1ce65494,0
2012-04-02,12:23:26,3738932e4a7f0249c03805e8962f40609efce6a0,0
2012-04-08,14:21:30,b39ca0b88be729edc2445cefb2d95e32befa536b,-4
2012-04-08,14:22:43,5082d8a6dca0e187c88977f4b05714f71df67a26,0
2012-04-11,13:33:27,ffb1672866eb159071c3808152e01a14236ede0d,-4
2012-04-11,13:43:11,de3d403906e34c992d7b11707aba386abd155032,0
2012-04-11,14:15:10,68ec1e2a0a32fbafef86729a2e4080e8c4cd73e6,0
2012-04-11,14:18:41,dc5a6049d8a509d9dceb8d657c518a30a98b7e10,0
2012-04-11,14:21:51,5ea53603658c0a44e3fecb64258a6e5874de5409,0
2012-04-11,14:24:07,ad9da705f80f927ef0c1a9c06616337494eb8a99,0
2012-04-11,14:33:34,fff36f7d74ae24d8860e329eb4131b5a047baa17,0
2012-04-11,14:36:30,6a42f6d49a0b0bd4a8f6739e482e8cf29e6c2641,0
2012-04-11,14:42:03,b852ef0e88a51f70cea4cfecdfee6ebca996a8c6,0
2012-04-11,15:53:54,5ce1e9f4bf6976cc1b03105e98c1b38a67ece539,0
2012-04-11,16:02:57,1aeabdfb384a558b2cf5bdc6dbaaec8cbafad7ce,-4
2012-04-11,16:04:30,5447a4db115311e8fe4b9a7787cc7a7ddcac9b23,0
2012-04-12,11:09:00,1ee1dfe62c5b9f3aa368c97a1b118473253d24f7,0
2012-04-12,13:08:41,ddea6e86c1779cc63af8f239a0b9a6b5db2e12ea,0
2012-04-20,11:59:36,064d2a7b2e387c939f80dda1fac2813fc5d5e8f0,0
2012-04-20,12:13:21,2074dbd28d75e91f9489db6a78fb34cf75de87c2,0
2012-05-08,10:56:02,9ca1ab3b055ce2c376879ba5dfe137de6b051e4e,0
2012-05-08,11:37:24,9f2145eaa07fe7f4264a1fa8dd47ae0c1f4271e3,0
2012-05-08,12:47:32,761cb634473b2f4e8c4587c0e82fb26dfadc648b,0
2012-05-08,14:04:18,3478636fd015639bc120a94c31effc7593bc486f,0
2012-05-08,14:13:01,73f67cd58361cde9fdb613f98d639e4ff68985ae,0
2012-05-08,15:34:19,ef05e5506651e698566adaacc05cafec5446621c,0
2012-05-09,07:52:31,1c60d28e96177ac52d72c9753dbc2709af0972c7,0
2012-05-09,09:26:32,aa776cf4093b3c03757783594b4ea8c4a4d3fd86,0
2012-05-09,14:22:15,5517d0dc0cbac3970f45497d45e341f639a1e09f,0
2012-05-09,15:07:22,eed3d1d4676e321423925731a886ceba3b53827a,0
2012-05-09,15:21:27,ba7d7a0129b89c2e08a111607981a652610e0c8c,0
2012-06-05,13:09:31,0983363ce8c9f29868902ce332f48692097e5fb9,0
2012-06-20,12:30:31,16b82af5a93a7f7dc847de8148b33a0bc9da4592,0
2012-06-20,12:49:51,1061cde3da27e279b7149bfdb8245078ac8dad24,0
2012-06-20,14:45:05,e0977027053f233885f11f313e3ba34ab06b09b5,0
2012-06-20,14:49:40,7fabdecfe5de83239a4db6571c7df73a389aa5e2,0
2012-06-20,14:55:15,83727d32a7a191151ac3abbff8d63d6c62adac9b,0
2012-06-20,14:58:57,68341fd9dcdf0c66e55b5ce8c159138d885d9abd,0
2012-06-21,08:20:42,1d29c5913980551730a83b978cc2d8d8248d02ac,0
2012-06-21,08:49:59,fefcbbc79fa55fdc44593c7f8459976f383be48a,0
2012-06-21,08:56:14,861be38630c929e61feb7926b1cae1f86cd467c0,0
2012-07-09,17:24:05,f90a791bd9989e06ecc29de5439980e23a94a384,0
2012-07-10,12:41:29,2fa625716b9f135cdab61bff538a44a3c484bbfc,0
2012-07-10,12:55:54,f633fa7d329578128ce5bc125f7fe678ec50e90a,0
2012-07-10,13:04:29,19cacfb685916b972f921e37292eb66df86b4bfa,0
2012-07-10,13:23:46,6aa65dc6f198e9ada3793244a55a818b4467e2cb,0
2012-07-10,16:16:39,e4b322ac6554b65dd4cea47e5656df488c4c82d7,0
2012-07-11,13:58:03,61f5972a980efc831a69abd4139898aa207150f3,0
2012-07-11,15:48:35,2560ab6259faa6db77a95edd664de4257a36c480,0
2012-07-11,17:02:32,d791f648ab24822211044ab289af1eeb3daf2ad1,0
2012-10-18,11:17:50,25aebdaae585b417bb24e854914c8e08cad2578f,0
2012-10-18,16:00:38,002cd3c85ef3908b673b6a768c72dd5cbc2fb002,0
2012-10-18,16:01:20,e9c2cb88ebe03307da31b1d08f74e59b1d786b46,0
2012-10-18,18:16:46,766978547f8e2a51dbbee1120c9f407293e26687,0
2012-10-18,19:34:02,46b5f41d0c946c3e782c8c4bd8af2e693b09cbd4,0
2012-10-20,08:03:51,3ecb37be2d616866b598da5c2cf1b7b4e7c9e04e,0
2012-10-31,18:27:29,1c163c4a1c0482282e7b7e0a46e3f36d882389af,0
2012-10-31,18:33:30,9e09fb32220aa115837c0f955a4603d40a2c7820,0
2012-11-01,12:38:18,859fcef00c81e30616dba04806ae21ab6dbac6fc,0
2012-11-01,16:55:40,9f5fdcf511b21d1ed8df05313694b5af88636406,0
2013-02-28,12:25:07,2d6fd3ea4670898af73542744c31715325754db4,0
2013-02-28,12:59:03,d898c04fdfa5afe8af0cf0e2a13ed62396fde519,0
2013-03-09,10:31:02,50c3a07b7a552166dacbf7d131c1efe04ed99cdd,0
2013-03-09,14:32:06,08636e008a242d8d6ea12dac803992dee00c812c,0
2013-03-09,14:39:45,b45f16bff49bb5fe1083bd2452816a0a5a4ca08b,0
2013-03-10,13:11:33,b9f38b414d2b5286fd85f60060c17530630db241,0
2013-03-10,13:13:54,d82c7593b1d5aa0c9fa6435be4e4a412bb1a029d,0
2013-06-12,10:52:50,3387ea379c9e060847345ccdb183095a8ae07309,0
2013-06-12,11:09:09,a93584a0efce13d20aa98bc9817fbf68c5496d2a,0
2013-06-12,11:20:13,c89ca83d5a479bf55f3175e5737bb0e2b8a3aae0,0
2013-06-15,10:54:48,e3bf77e45373d9926454917b8b2dcd83c446e89f,0
2013-06-21,15:47:09,79ccd452b7a76217e37a1c8863ca434f339464a0,0
